x y
1 -2.90802064491436 -7.29818661127191
2 -2.71314334915951 -3.10505513983635
3 -2.43970842892304 -2.85528260797761
4 -2.37904167640954 -4.9022403009922
5 -2.33130507962778 -6.93617475545421
6 -2.2521993345581 -2.70314921115086
7 -2.22611064836383 -2.74868040254321
8 -1.99175084196031 -2.52807133561166
9 -1.97825614269823 -2.48350799401924
10 -1.96188390394673 -4.62802704178484
11 -1.78832220705226 -2.16561338713349
12 -1.75420782063156 -0.907699663798971
13 -1.63078871229663 -3.18507339630473
14 -1.57868995517492 -5.1159474503424
15 -1.44951623724774 -1.3115100127504
16 -1.39426700910553 -1.21552027419217
17 -1.32160467747599 -3.26413561687058
18 -1.31118724588305 0.775395199352098
19 -1.2323944545351 -4.05397632616876
20 -1.11581126600504 -1.53474709965002
21 -1.03359409701079 -6.59799034105714
22 -0.982404286041856 -2.2892191301402
23 -0.760314138606191 0.741101705705395
24 -0.724968653172255 -2.36102925886542
25 -0.690345891751349 -3.17902441458044
26 -0.484302220400423 0.485073362661651
27 -0.280156058259308 -2.17919392024909
28 0.0301434849388897 0.594457201788245
29 0.072095385286957 -3.33033665049327
30 0.204212120734155 -2.41442603014944
31 0.343496614135802 -0.220109225285371
32 0.362547323573381 -1.34588790358936
33 0.424485109280795 3.57325600508016
34 0.465659514069557 2.76623250208916
35 0.47511625662446 -0.620051808904744
36 0.598389394115657 2.34381513452584
37 0.612604048568755 3.06160051261305
38 0.626364324241877 1.7653031944552
39 0.785875646397471 2.27568440467008
40 1.22213015332818 4.79293502084755
41 1.53422861499712 2.10676447941583
42 1.71768722450361 2.59771500473601
43 1.74688445683569 5.40399452011208
44 1.80384637322277 1.0296795245498
45 1.8450983944349 4.06259165501988
46 1.97825215989724 3.89385331590002
47 2.2075169258751 5.34922847144334
48 2.33749820804223 6.72339176449359
49 2.38492958620191 5.3045760768726
50 2.46088626561686 5.38542473695413
